code,provincie,jaar,aantal
NED,Nederland,2013,157920
NED,Nederland,2014,150080
NED,Nederland,2015,152220
NED,Nederland,2016,141700
NED,Nederland,2017,139940
NED,Nederland,2018,148900
GR,Groningen (PV),2013,3780
GR,Groningen (PV),2014,3440
GR,Groningen (PV),2015,3500
GR,Groningen (PV),2016,3380
GR,Groningen (PV),2017,3240
GR,Groningen (PV),2018,3840
FR,Friesland (PV),2013,4620
FR,Friesland (PV),2014,4180
FR,Friesland (PV),2015,4040
FR,Friesland (PV),2016,3260
FR,Friesland (PV),2017,3180
FR,Friesland (PV),2018,3580
DR,Drenthe (PV),2013,4480
DR,Drenthe (PV),2014,4140
DR,Drenthe (PV),2015,3600
DR,Drenthe (PV),2016,3240
DR,Drenthe (PV),2017,2900
DR,Drenthe (PV),2018,3320
OV,Overijssel (PV),2013,9220
OV,Overijssel (PV),2014,8440
OV,Overijssel (PV),2015,7760
OV,Overijssel (PV),2016,7340
OV,Overijssel (PV),2017,7400
OV,Overijssel (PV),2018,7800
FL,Flevoland (PV),2013,3500
FL,Flevoland (PV),2014,3060
FL,Flevoland (PV),2015,3200
FL,Flevoland (PV),2016,3100
FL,Flevoland (PV),2017,2840
FL,Flevoland (PV),2018,3180
GL,Gelderland (PV),2013,16460
GL,Gelderland (PV),2014,14600
GL,Gelderland (PV),2015,15520
GL,Gelderland (PV),2016,14660
GL,Gelderland (PV),2017,14840
GL,Gelderland (PV),2018,15180
UT,Utrecht (PV),2013,10660
UT,Utrecht (PV),2014,10080
UT,Utrecht (PV),2015,9500
UT,Utrecht (PV),2016,8580
UT,Utrecht (PV),2017,8720
UT,Utrecht (PV),2018,9160
NH,Noord-Holland (PV),2013,31200
NH,Noord-Holland (PV),2014,31760
NH,Noord-Holland (PV),2015,34400
NH,Noord-Holland (PV),2016,32460
NH,Noord-Holland (PV),2017,33040
NH,Noord-Holland (PV),2018,35200
ZH,Zuid-Holland (PV),2013,42620
ZH,Zuid-Holland (PV),2014,39580
ZH,Zuid-Holland (PV),2015,40340
ZH,Zuid-Holland (PV),2016,36960
ZH,Zuid-Holland (PV),2017,36100
ZH,Zuid-Holland (PV),2018,38360
ZL,Zeeland (PV),2013,3220
ZL,Zeeland (PV),2014,3020
ZL,Zeeland (PV),2015,3120
ZL,Zeeland (PV),2016,3380
ZL,Zeeland (PV),2017,3580
ZL,Zeeland (PV),2018,4080
NB,Noord-Brabant (PV),2013,19080
NB,Noord-Brabant (PV),2014,18320
NB,Noord-Brabant (PV),2015,18040
NB,Noord-Brabant (PV),2016,16240
NB,Noord-Brabant (PV),2017,16120
NB,Noord-Brabant (PV),2018,17120
LB,Limburg (PV),2013,8940
LB,Limburg (PV),2014,9360
LB,Limburg (PV),2015,9080
LB,Limburg (PV),2016,9040
LB,Limburg (PV),2017,7940
LB,Limburg (PV),2018,8020
