PVE_CODE,PVE_NAAM,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total
DR,Drenthe,2932,3041,2227,2690,2676,2441,2681,2773,2913,2756,27130
FL,Flevoland,1103,1852,1706,1841,1824,1574,1939,2427,2546,2518,19330
FR,Friesland,3110,3202,2909,3202,3533,2807,3557,3805,3617,3307,33049
GL,Gelderland,9075,14580,12624,13018,12811,12124,14734,16060,15527,15349,135902
GR,Groningen,3945,3999,3722,3809,3731,3139,3638,3632,3627,3435,36677
LB,Limburg,5421,6596,5513,5043,5942,6344,7520,8511,8172,7763,66825
NB,Noord-Brabant,9521,17243,14791,14038,15267,14880,17087,18534,17923,18563,157847
NH,Noord-Holland,11219,16229,14554,15070,15729,14732,18532,20415,20025,21351,167856
OV,Overijssel,7573,9348,7973,7733,8659,7825,8873,9177,8576,8396,84133
UT,Utrecht,4682,10239,7936,8515,8529,7071,8036,8994,9068,9608,82678
ZH,Zuid-Holland,14998,20087,18100,20305,19518,18372,21963,24891,25821,28669,212724
ZL,Zeeland,1459,3137,2674,2634,2407,2004,2433,2691,2608,2377,24424
NED,Nederland,75038,109553,94729,97898,100626,93313,110993,121910,120423,124092,1048575
